date,time,group,home,away,venue,altitude,status,home_goals,away_goals,minute
2026-06-21,13:00,G,Belgium,Iran,Mercedes-Benz,312,scheduled,,,
2026-06-21,16:00,H,Uruguay,Cape Verde,Allegiant Stadium,600,scheduled,,,
2026-06-21,19:00,G,New Zealand,Egypt,BC Place,5,scheduled,,,
2026-06-22,11:00,J,Argentina,Austria,Hard Rock Stadium,4,scheduled,,,
2026-06-22,15:00,I,France,Iraq,MetLife,4,scheduled,,,
2026-06-22,18:00,I,Norway,Senegal,Lincoln Financial,267,scheduled,,,
2026-06-22,21:00,J,Jordan,Algeria,NRG Stadium,23,scheduled,,,
2026-06-24,11:00,K,Portugal,Uzbekistan,Gillette Stadium,18,scheduled,,,
2026-06-24,14:00,L,England,Ghana,AT&T Stadium,171,scheduled,,,
2026-06-24,17:00,L,Panama,Croatia,Arrowhead Stadium,304,scheduled,,,
2026-06-24,20:00,K,Colombia,DR Congo,Lumen Field,8,scheduled,,,
2026-06-24,11:00,A,Mexico,Czech Republic,Estadio Azteca,2240,scheduled,,,
2026-06-24,14:00,A,South Africa,South Korea,AT&T Stadium,171,scheduled,,,
2026-06-24,17:00,B,Bosnia and Herzegovina,Qatar,BMO Field,76,scheduled,,,
2026-06-24,20:00,B,Switzerland,Canada,MetLife,4,scheduled,,,
2026-06-25,13:00,D,Paraguay,Australia,Rose Bowl,270,scheduled,,,
2026-06-25,13:00,D,United States,Turkey,NRG Stadium,23,scheduled,,,
2026-06-25,18:00,C,Morocco,Haiti,SoFi Stadium,60,scheduled,,,
2026-06-25,18:00,C,Scotland,Brazil,Empower Field,1609,scheduled,,,
2026-06-25,22:00,E,Curaçao,Ivory Coast,Lincoln Financial,267,scheduled,,,
2026-06-25,22:00,E,Ecuador,Germany,Arrowhead Stadium,304,scheduled,,,
2026-06-25,16:00,F,Japan,Sweden,Gillette Stadium,18,scheduled,,,
2026-06-25,16:00,F,Tunisia,Netherlands,MetLife,4,scheduled,,,
2026-06-26,10:00,G,New Zealand,Belgium,BC Place,5,scheduled,,,
2026-06-26,10:00,G,Egypt,Iran,Mercedes-Benz,312,scheduled,,,
2026-06-26,16:00,H,Cape Verde,Saudi Arabia,Allegiant Stadium,600,scheduled,,,
2026-06-26,16:00,H,Uruguay,Spain,Hard Rock Stadium,4,scheduled,,,
2026-06-27,11:00,K,DR Congo,Uzbekistan,Gillette Stadium,18,scheduled,,,
2026-06-27,11:00,K,Colombia,Portugal,Lumen Field,8,scheduled,,,
2026-06-27,17:00,L,Panama,England,AT&T Stadium,171,scheduled,,,
2026-06-27,17:00,L,Croatia,Ghana,Arrowhead Stadium,304,scheduled,,,
2026-06-26,22:00,I,Norway,France,Lincoln Financial,267,scheduled,,,
2026-06-26,22:00,I,Senegal,Iraq,MetLife,4,scheduled,,,
2026-06-27,22:00,J,Algeria,Austria,NRG Stadium,23,scheduled,,,
2026-06-27,22:00,J,Jordan,Argentina,Hard Rock Stadium,4,scheduled,,,
